Word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,1.085014,117.280696
your,1.096552,122.263492
your,1.108091,121.140303
your,1.119629,122.770577
your,1.131168,123.798863
your,1.142706,125.475313
your,1.154245,126.467552
your,1.165783,127.143221
your,1.177322,127.766881
your,1.18886,129.689212
your,1.200399,130.416747
your,1.211937,131.318897
your,1.223475,131.451878
your,1.235014,131.680922
your,1.246552,131.112092
your,1.258091,130.399092
your,1.269629,129.651384
your,1.281168,128.70636
your,1.292706,126.323892
your,1.304245,123.153658
your,1.315783,124.311979
your,1.327322,124.242517
your,1.33886,119.55878
your,1.350399,123.569789
your,1.361937,126.782516
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,1.419629,119.515581
good,1.431168,116.081401
good,1.442706,113.892092
good,1.454245,114.281271
good,1.465783,115.73225
good,1.477322,114.18468
good,1.48886,113.574665
good,1.500399,114.011372
good,1.511937,115.063069
good,1.523475,116.662261
good,1.535014,116.073296
good,1.546552,111.623845
good,1.558091,114.092163
good,1.569629,112.553892
good,1.581168,111.459398
good,1.592706,113.687614
good,1.604245,113.442686
good,1.615783,113.078136
good,1.627322,112.723178
good,1.63886,113.209791
good,1.650399,112.962843
pants,1.661937,112.135505
pants,1.673475,114.293861
pants,1.685014,115.114347
pants,1.696552,113.54486
pants,1.708091,113.836794
pants,1.719629,110.451486
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,1.800399,125.29991
pants,1.811937,121.860085
pants,1.823475,113.734611
pants,1.835014,112.038892
pants,1.846552,111.091982
pants,1.858091,110.97518
pants,1.869629,110.26553
pants,1.881168,108.936203
pants,1.892706,106.155463
pants,1.904245,105.470256
pants,1.915783,103.716457
pants,1.927322,104.392107
pants,1.93886,104.38841
pants,1.950399,103.91223
pants,1.961937,106.096136
pants,1.973475,105.953413
pants,1.985014,107.250356
pants,1.996552,108.530233
pants,2.008091,110.193228
pants,2.019629,114.571507
pants,2.031168,115.604329
pants,2.042706,113.391039
pants,2.054245,111.065212
pants,2.065783,110.141909
pants,2.077322,110.495803
pants,2.08886,111.18046
pants,2.100399,111.258928
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,2.273475,103.032979
pants,2.285014,96.710974
pants,2.296552,95.778696
pants,2.308091,100.653598
pants,2.319629,106.000992
pants,2.331168,98.331255
pants,2.342706,95.988053
pants,2.354245,99.939766
pants,2.365783,103.508005
pants,2.377322,103.519557
pants,2.38886,102.058974
pants,2.400399,100.279525
pants,2.411937,94.837677
pants,2.423475,89.731394
pants,2.435014,96.412746
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,2.492706,98.719643
look,2.504245,97.275905
look,2.515783,92.394443
look,2.527322,106.09736
look,2.53886,126.014395
look,2.550399,131.696408
look,2.561937,114.791358
look,2.573475,110.318952
look,2.585014,113.664135
look,2.596552,111.04433
look,2.608091,109.525896
look,2.619629,112.108031
look,2.631168,111.574332
look,2.642706,111.650147
look,2.654245,111.794569
look,2.665783,109.920935
look,2.677322,111.579833
look,2.68886,112.691261
look,2.700399,111.179676
look,2.711937,111.991608
look,2.723475,111.639814
look,2.735014,110.632293
look,2.746552,111.795536
look,2.758091,111.280197
look,2.769629,111.21959
look,2.781168,112.698786
look,2.792706,111.957001
great,2.804245,111.436499
great,2.815783,113.490609
great,2.827322,111.215544
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.885014,117.784194
great,2.896552,117.999504
great,2.908091,111.146966
great,2.919629,108.790024
great,2.931168,108.078037
great,2.942706,106.349553
great,2.954245,105.415021
great,2.965783,103.979983
great,2.977322,102.001642
great,2.98886,101.465041
great,3.000399,100.272329
great,3.011937,99.21001
great,3.023475,95.977349
great,3.035014,97.290767
great,3.046552,96.192759
great,3.058091,93.115562
great,3.069629,91.641091
great,3.081168,89.960818
great,3.092706,86.87215
great,3.104245,87.339822
great,3.115783,91.284561
great,3.127322,101.393665
great,3.13886,96.897612
great,3.150399,92.055486
great,3.161937,83.085289
great,3.173475,91.036237
great,3.185014,89.559424
great,3.196552,91.969771
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,3.231168,87.699229
great,3.242706,86.991712
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,3.311937,95.699533
great,3.323475,95.654423
great,3.335014,95.533973
great,3.346552,95.178345
great,3.358091,83.729897
great,3.369629,82.816288
great,3.381168,91.967714
great,3.392706,92.016121
