Word,Time_s,Intensity_dB
your,1.072834,66.051953
your,1.086168,66.846919
your,1.099501,66.63477
your,1.112834,67.944181
your,1.126168,70.293201
your,1.139501,72.606769
your,1.152834,74.63984
your,1.166168,76.31545
your,1.179501,77.253357
your,1.192834,77.152496
your,1.206168,76.309226
your,1.219501,75.347824
your,1.232834,74.774014
your,1.246168,74.755458
your,1.259501,75.041874
your,1.272834,75.15138
your,1.286168,74.625708
your,1.299501,73.124596
your,1.312834,69.886387
your,1.326168,65.243518
your,1.339501,63.599481
your,1.352834,63.393848
your,1.366168,61.732184
good,1.379501,61.385624
good,1.392834,64.294188
good,1.406168,69.719481
good,1.419501,73.203173
good,1.432834,74.572302
good,1.446168,75.09399
good,1.459501,75.43681
good,1.472834,75.493306
good,1.486168,75.275316
good,1.499501,74.802446
good,1.512834,73.830728
good,1.526168,72.668251
good,1.539501,71.476046
good,1.552834,69.706351
good,1.566168,67.451633
good,1.579501,65.254052
good,1.592834,63.922251
good,1.606168,63.095124
good,1.619501,63.462731
good,1.632834,64.128156
good,1.646168,63.903968
pants,1.659501,62.909302
pants,1.672834,61.65895
pants,1.686168,60.357889
pants,1.699501,59.719339
pants,1.712834,61.023836
pants,1.726168,61.890468
pants,1.739501,61.38718
pants,1.752834,60.624
pants,1.766168,60.551404
pants,1.779501,61.595997
pants,1.792834,64.388255
pants,1.806168,66.076005
pants,1.819501,66.020295
pants,1.832834,66.3674
pants,1.846168,66.823885
pants,1.859501,66.587249
pants,1.872834,66.295259
pants,1.886168,66.049496
pants,1.899501,65.101122
pants,1.912834,63.777191
pants,1.926168,63.721812
pants,1.939501,65.521557
pants,1.952834,66.726676
pants,1.966168,66.821253
pants,1.979501,66.541764
pants,1.992834,66.213616
pants,2.006168,65.613113
pants,2.019501,65.187097
pants,2.032834,64.993156
pants,2.046168,63.939493
pants,2.059501,62.870472
pants,2.072834,62.164951
pants,2.086168,60.455466
pants,2.099501,57.872927
pants,2.112834,56.371887
pants,2.126168,57.818488
pants,2.139501,59.595856
pants,2.152834,60.787691
pants,2.166168,61.705203
pants,2.179501,62.29282
pants,2.192834,62.295507
pants,2.206168,61.368009
pants,2.219501,59.614873
pants,2.232834,57.883284
pants,2.246168,56.533985
pants,2.259501,56.022595
pants,2.272834,57.5088
pants,2.286168,59.344374
pants,2.299501,60.28657
pants,2.312834,60.693313
pants,2.326168,60.802366
pants,2.339501,60.491183
pants,2.352834,59.368093
pants,2.366168,57.738231
pants,2.379501,56.613856
pants,2.392834,56.407225
pants,2.406168,56.077534
pants,2.419501,55.186873
pants,2.432834,53.614638
pants,2.446168,51.194634
pants,2.459501,50.101671
look,2.472834,50.764424
look,2.486168,51.910727
look,2.499501,53.425444
look,2.512834,55.142839
look,2.526168,56.631361
look,2.539501,59.441023
look,2.552834,62.754989
look,2.566168,65.200958
look,2.579501,67.973188
look,2.592834,70.649798
look,2.606168,72.155847
look,2.619501,72.526738
look,2.632834,72.406313
look,2.646168,72.226469
look,2.659501,71.344001
look,2.672834,69.270355
look,2.686168,67.323962
look,2.699501,66.480328
look,2.712834,65.241017
look,2.726168,64.132089
look,2.739501,63.437956
look,2.752834,62.740392
look,2.766168,62.39214
look,2.779501,61.480062
look,2.792834,60.42547
great,2.806168,59.952547
great,2.819501,59.516039
great,2.832834,60.130741
great,2.846168,60.353254
great,2.859501,59.255563
great,2.872834,59.157301
great,2.886168,62.383826
great,2.899501,65.985078
great,2.912834,68.465671
great,2.926168,70.179556
great,2.939501,70.853691
great,2.952834,70.329749
great,2.966168,69.258101
great,2.979501,68.207354
great,2.992834,67.695455
great,3.006168,67.247957
great,3.019501,66.644597
great,3.032834,66.633675
great,3.046168,66.675457
great,3.059501,66.050917
great,3.072834,64.723533
great,3.086168,62.596063
great,3.099501,60.21343
great,3.112834,58.567396
great,3.126168,58.432747
great,3.139501,58.392165
great,3.152834,56.789996
great,3.166168,55.596303
great,3.179501,55.752745
great,3.192834,55.17508
great,3.206168,54.396158
great,3.219501,53.771005
great,3.232834,54.899123
great,3.246168,55.782408
great,3.259501,56.28052
great,3.272834,57.20493
great,3.286168,57.459094
great,3.299501,56.911047
great,3.312834,55.981493
great,3.326168,54.75912
great,3.339501,53.314435
great,3.352834,52.618285
great,3.366168,53.862755
great,3.379501,56.574866
great,3.392834,58.442746
